investor_id,total_sips,avg_gap_days,max_gap_days,status
INV000001,2,76.0,76.0,High Risk / Stopped
INV000002,3,207.0,238.0,High Risk / Stopped
INV000003,2,238.0,238.0,High Risk / Stopped
INV000004,6,85.4,265.0,High Risk / Stopped
INV000005,3,14.0,19.0,Irregular
INV000006,5,123.75,295.0,High Risk / Stopped
INV000007,5,104.5,177.0,High Risk / Stopped
INV000008,6,70.4,165.0,High Risk / Stopped
INV000009,4,85.33333333333333,162.0,High Risk / Stopped
INV000010,6,64.8,139.0,High Risk / Stopped
INV000011,7,40.166666666666664,125.0,Irregular
INV000012,8,57.0,132.0,Irregular
INV000013,7,55.333333333333336,104.0,Irregular
INV000014,7,75.33333333333333,128.0,High Risk / Stopped
INV000015,1,,,Irregular
INV000016,1,,,Irregular
INV000017,1,,,Irregular
INV000018,2,50.0,50.0,Irregular
INV000019,3,205.0,406.0,High Risk / Stopped
INV000020,2,16.0,16.0,Irregular
INV000021,3,144.0,282.0,High Risk / Stopped
INV000022,2,40.0,40.0,Irregular
INV000023,8,58.57142857142857,115.0,Irregular
INV000024,5,75.75,167.0,High Risk / Stopped
INV000025,1,,,Irregular
INV000026,4,144.66666666666666,157.0,High Risk / Stopped
INV000027,2,341.0,341.0,High Risk / Stopped
INV000028,6,93.6,238.0,High Risk / Stopped
INV000029,7,60.666666666666664,96.0,High Risk / Stopped
INV000030,9,47.625,100.0,Irregular
INV000031,3,145.0,276.0,High Risk / Stopped
INV000032,4,102.33333333333333,166.0,High Risk / Stopped
INV000033,8,45.57142857142857,87.0,Irregular
INV000034,1,,,Irregular
INV000035,2,144.0,144.0,High Risk / Stopped
INV000036,2,99.0,99.0,High Risk / Stopped
INV000037,2,63.0,63.0,High Risk / Stopped
INV000038,4,69.0,183.0,High Risk / Stopped
INV000039,6,68.6,129.0,High Risk / Stopped
INV000040,5,55.0,118.0,Irregular
INV000041,1,,,Irregular
INV000042,4,22.666666666666668,32.0,Irregular
INV000043,1,,,Irregular
INV000044,2,17.0,17.0,Irregular
INV000045,6,70.6,109.0,High Risk / Stopped
INV000046,4,33.666666666666664,54.0,Irregular
INV000047,2,77.0,77.0,High Risk / Stopped
INV000048,9,46.0,168.0,Irregular
INV000049,3,247.5,425.0,High Risk / Stopped
INV000050,2,143.0,143.0,High Risk / Stopped
INV000051,3,74.5,82.0,High Risk / Stopped
INV000052,6,36.2,120.0,Irregular
INV000053,2,7.0,7.0,Irregular
INV000054,5,68.25,103.0,High Risk / Stopped
INV000055,5,100.0,156.0,High Risk / Stopped
INV000056,6,74.8,161.0,High Risk / Stopped
INV000057,8,49.714285714285715,149.0,Irregular
INV000058,5,76.75,121.0,High Risk / Stopped
INV000059,1,,,Irregular
INV000060,2,90.0,90.0,High Risk / Stopped
INV000061,3,20.0,25.0,Irregular
INV000062,5,116.0,215.0,High Risk / Stopped
INV000063,3,218.0,403.0,High Risk / Stopped
INV000065,4,112.33333333333333,165.0,High Risk / Stopped
INV000066,2,98.0,98.0,High Risk / Stopped
INV000067,1,,,Irregular
INV000069,10,49.111111111111114,129.0,Irregular
INV000070,3,92.0,145.0,High Risk / Stopped
INV000071,4,24.333333333333332,57.0,Irregular
INV000072,6,83.0,247.0,High Risk / Stopped
INV000073,9,48.25,112.0,Irregular
INV000074,8,72.57142857142857,191.0,High Risk / Stopped
INV000075,6,74.8,102.0,High Risk / Stopped
INV000076,6,91.8,203.0,High Risk / Stopped
INV000078,1,,,Irregular
INV000079,6,65.8,90.0,High Risk / Stopped
INV000080,4,81.0,173.0,High Risk / Stopped
INV000081,7,81.33333333333333,167.0,High Risk / Stopped
INV000082,7,83.66666666666667,351.0,High Risk / Stopped
INV000083,1,,,Irregular
INV000084,4,102.0,155.0,High Risk / Stopped
INV000085,5,91.25,300.0,High Risk / Stopped
INV000086,10,44.666666666666664,167.0,Irregular
INV000087,6,92.8,202.0,High Risk / Stopped
INV000088,2,9.0,9.0,Irregular
INV000089,4,121.33333333333333,177.0,High Risk / Stopped
INV000090,3,145.5,249.0,High Risk / Stopped
INV000091,8,44.0,105.0,Irregular
INV000092,3,7.5,14.0,Irregular
INV000093,7,55.5,91.0,Irregular
INV000094,6,44.8,95.0,Irregular
INV000095,6,69.4,155.0,High Risk / Stopped
INV000096,2,2.0,2.0,Irregular
INV000097,7,54.5,183.0,Irregular
INV000098,5,51.25,103.0,Irregular
INV000099,5,91.75,206.0,High Risk / Stopped
INV000100,3,215.0,275.0,High Risk / Stopped
INV000101,8,65.0,197.0,High Risk / Stopped
INV000102,8,65.28571428571429,109.0,High Risk / Stopped
INV000103,6,83.4,232.0,High Risk / Stopped
INV000104,5,115.0,247.0,High Risk / Stopped
INV000105,8,57.0,87.0,Irregular
INV000106,2,112.0,112.0,High Risk / Stopped
INV000107,3,100.0,200.0,High Risk / Stopped
INV000108,3,70.0,71.0,High Risk / Stopped
INV000109,9,46.25,63.0,Irregular
INV000110,3,122.0,194.0,High Risk / Stopped
INV000111,1,,,Irregular
INV000112,3,120.5,216.0,High Risk / Stopped
INV000113,8,46.0,144.0,Irregular
INV000114,1,,,Irregular
INV000115,4,140.33333333333334,218.0,High Risk / Stopped
INV000116,3,157.5,282.0,High Risk / Stopped
INV000117,4,117.33333333333333,126.0,High Risk / Stopped
INV000118,5,50.5,152.0,Irregular
INV000119,2,142.0,142.0,High Risk / Stopped
INV000120,3,117.5,223.0,High Risk / Stopped
INV000121,2,170.0,170.0,High Risk / Stopped
INV000122,1,,,Irregular
INV000123,7,59.666666666666664,142.0,Irregular
INV000124,4,144.66666666666666,344.0,High Risk / Stopped
INV000125,5,85.75,123.0,High Risk / Stopped
INV000126,1,,,Irregular
INV000127,1,,,Irregular
INV000128,6,82.0,181.0,High Risk / Stopped
INV000129,5,108.5,256.0,High Risk / Stopped
INV000130,2,170.0,170.0,High Risk / Stopped
INV000131,7,56.0,123.0,Irregular
INV000132,6,71.0,139.0,High Risk / Stopped
INV000133,6,88.2,265.0,High Risk / Stopped
INV000134,3,87.0,106.0,High Risk / Stopped
INV000135,3,120.0,238.0,High Risk / Stopped
INV000136,1,,,Irregular
INV000137,4,81.33333333333333,150.0,High Risk / Stopped
INV000138,6,76.2,220.0,High Risk / Stopped
INV000139,1,,,Irregular
INV000140,2,157.0,157.0,High Risk / Stopped
INV000141,1,,,Irregular
INV000143,4,102.66666666666667,237.0,High Risk / Stopped
INV000144,3,182.5,265.0,High Risk / Stopped
INV000145,6,89.4,282.0,High Risk / Stopped
INV000146,6,66.8,171.0,High Risk / Stopped
INV000147,4,116.0,216.0,High Risk / Stopped
INV000148,9,52.0,168.0,Irregular
INV000150,5,100.75,176.0,High Risk / Stopped
INV000151,3,136.5,219.0,High Risk / Stopped
INV000152,1,,,Irregular
INV000153,4,44.0,97.0,Irregular
INV000154,5,64.0,90.0,High Risk / Stopped
INV000155,7,37.333333333333336,99.0,Irregular
INV000156,4,159.66666666666666,344.0,High Risk / Stopped
INV000158,5,103.0,144.0,High Risk / Stopped
INV000159,3,201.0,218.0,High Risk / Stopped
INV000160,3,37.0,69.0,Irregular
INV000161,7,73.0,213.0,High Risk / Stopped
INV000162,2,435.0,435.0,High Risk / Stopped
INV000163,8,61.0,80.0,High Risk / Stopped
INV000164,6,61.8,208.0,High Risk / Stopped
INV000165,4,141.66666666666666,249.0,High Risk / Stopped
INV000166,4,166.0,368.0,High Risk / Stopped
INV000167,5,97.5,195.0,High Risk / Stopped
INV000168,1,,,Irregular
INV000169,7,67.83333333333333,145.0,High Risk / Stopped
INV000170,2,18.0,18.0,Irregular
INV000171,2,98.0,98.0,High Risk / Stopped
INV000172,4,133.33333333333334,298.0,High Risk / Stopped
INV000173,7,57.666666666666664,165.0,Irregular
INV000174,5,119.5,315.0,High Risk / Stopped
INV000175,7,83.66666666666667,170.0,High Risk / Stopped
INV000176,3,201.5,204.0,High Risk / Stopped
INV000177,8,65.42857142857143,278.0,High Risk / Stopped
INV000178,2,230.0,230.0,High Risk / Stopped
INV000179,5,39.75,85.0,Irregular
INV000180,6,61.8,229.0,High Risk / Stopped
INV000181,3,160.5,286.0,High Risk / Stopped
INV000182,5,70.5,182.0,High Risk / Stopped
INV000183,9,56.125,216.0,Irregular
INV000184,1,,,Irregular
INV000185,2,196.0,196.0,High Risk / Stopped
INV000189,3,153.5,216.0,High Risk / Stopped
INV000190,5,55.0,97.0,Irregular
INV000191,7,56.5,161.0,Irregular
INV000192,5,99.75,208.0,High Risk / Stopped
INV000193,4,155.33333333333334,392.0,High Risk / Stopped
INV000194,7,58.0,109.0,Irregular
INV000195,6,77.4,114.0,High Risk / Stopped
INV000196,7,69.0,176.0,High Risk / Stopped
INV000197,1,,,Irregular
INV000198,1,,,Irregular
INV000199,4,65.0,153.0,High Risk / Stopped
INV000200,4,113.66666666666667,244.0,High Risk / Stopped
INV000201,9,51.125,100.0,Irregular
INV000202,2,348.0,348.0,High Risk / Stopped
INV000203,5,42.75,98.0,Irregular
INV000204,2,48.0,48.0,Irregular
INV000205,8,62.57142857142857,193.0,High Risk / Stopped
INV000206,1,,,Irregular
INV000207,5,95.0,238.0,High Risk / Stopped
INV000208,1,,,Irregular
INV000209,1,,,Irregular
INV000210,8,70.71428571428571,163.0,High Risk / Stopped
INV000211,5,116.0,214.0,High Risk / Stopped
INV000212,1,,,Irregular
INV000213,4,90.0,163.0,High Risk / Stopped
INV000214,6,94.8,306.0,High Risk / Stopped
INV000215,5,109.25,388.0,High Risk / Stopped
INV000216,4,61.333333333333336,107.0,High Risk / Stopped
INV000217,6,92.0,183.0,High Risk / Stopped
INV000218,1,,,Irregular
INV000219,3,126.0,217.0,High Risk / Stopped
INV000220,5,100.75,253.0,High Risk / Stopped
INV000221,5,34.75,60.0,Irregular
