company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
COMP_001,2019,-,-,+,Growth Funded by Debt
COMP_001,2020,-,-,-,Pre-Revenue
COMP_001,2021,-,+,-,Unknown
COMP_001,2022,+,+,-,Liquidating Assets
COMP_001,2023,-,+,+,Distress Signal
COMP_002,2019,+,+,+,Cash Accumulator
COMP_002,2020,+,-,+,Mixed
COMP_002,2021,-,+,-,Unknown
COMP_002,2022,+,+,+,Cash Accumulator
COMP_002,2023,+,-,+,Mixed
COMP_003,2019,+,-,+,Mixed
COMP_003,2020,-,+,+,Distress Signal
COMP_003,2021,-,-,+,Growth Funded by Debt
COMP_003,2022,-,-,-,Pre-Revenue
COMP_003,2023,+,-,-,Shareholder Returns
COMP_004,2019,+,-,-,Shareholder Returns
COMP_004,2020,-,-,-,Pre-Revenue
COMP_004,2021,+,-,-,Shareholder Returns
COMP_004,2022,-,+,+,Distress Signal
COMP_004,2023,+,-,+,Mixed
COMP_005,2019,-,-,+,Growth Funded by Debt
COMP_005,2020,+,-,-,Reinvestor
COMP_005,2021,+,-,-,Shareholder Returns
COMP_005,2022,+,-,+,Mixed
COMP_005,2023,-,+,+,Distress Signal
COMP_006,2019,-,-,-,Pre-Revenue
COMP_006,2020,+,-,+,Mixed
COMP_006,2021,+,-,+,Mixed
COMP_006,2022,+,-,+,Mixed
COMP_006,2023,-,+,+,Distress Signal
COMP_007,2019,+,-,-,Reinvestor
COMP_007,2020,+,-,-,Shareholder Returns
COMP_007,2021,+,-,-,Shareholder Returns
COMP_007,2022,+,+,+,Cash Accumulator
COMP_007,2023,-,-,-,Pre-Revenue
COMP_008,2019,+,-,-,Shareholder Returns
COMP_008,2020,-,-,-,Pre-Revenue
COMP_008,2021,-,+,-,Unknown
COMP_008,2022,-,+,+,Distress Signal
COMP_008,2023,+,+,-,Liquidating Assets
COMP_009,2019,-,-,+,Growth Funded by Debt
COMP_009,2020,-,+,-,Unknown
COMP_009,2021,-,+,+,Distress Signal
COMP_009,2022,+,-,+,Mixed
COMP_009,2023,-,-,+,Growth Funded by Debt
COMP_010,2019,-,-,+,Growth Funded by Debt
COMP_010,2020,-,+,+,Distress Signal
COMP_010,2021,-,+,+,Distress Signal
COMP_010,2022,-,-,-,Pre-Revenue
COMP_010,2023,-,+,+,Distress Signal
COMP_011,2019,+,+,-,Liquidating Assets
COMP_011,2020,-,+,+,Distress Signal
COMP_011,2021,-,+,+,Distress Signal
COMP_011,2022,-,+,+,Distress Signal
COMP_011,2023,-,-,+,Growth Funded by Debt
COMP_012,2019,-,-,+,Growth Funded by Debt
COMP_012,2020,-,-,+,Growth Funded by Debt
COMP_012,2021,-,+,-,Unknown
COMP_012,2022,+,+,+,Cash Accumulator
COMP_012,2023,+,+,-,Liquidating Assets
COMP_013,2019,-,-,-,Pre-Revenue
COMP_013,2020,+,+,-,Liquidating Assets
COMP_013,2021,+,-,+,Mixed
COMP_013,2022,+,-,+,Mixed
COMP_013,2023,+,+,-,Liquidating Assets
COMP_014,2019,-,+,-,Unknown
COMP_014,2020,-,-,-,Pre-Revenue
COMP_014,2021,+,-,-,Shareholder Returns
COMP_014,2022,+,+,+,Cash Accumulator
COMP_014,2023,-,+,+,Distress Signal
COMP_015,2019,+,-,+,Mixed
COMP_015,2020,-,-,+,Growth Funded by Debt
COMP_015,2021,+,+,-,Liquidating Assets
COMP_015,2022,+,-,+,Mixed
COMP_015,2023,-,+,-,Unknown
COMP_016,2019,+,-,+,Mixed
COMP_016,2020,-,-,+,Growth Funded by Debt
COMP_016,2021,+,-,-,Reinvestor
COMP_016,2022,+,-,-,Reinvestor
COMP_016,2023,-,-,-,Pre-Revenue
COMP_017,2019,-,+,+,Distress Signal
COMP_017,2020,-,+,-,Unknown
COMP_017,2021,-,-,-,Pre-Revenue
COMP_017,2022,-,-,+,Growth Funded by Debt
COMP_017,2023,-,-,+,Growth Funded by Debt
COMP_018,2019,-,-,-,Pre-Revenue
COMP_018,2020,-,-,+,Growth Funded by Debt
COMP_018,2021,+,+,-,Liquidating Assets
COMP_018,2022,+,-,-,Reinvestor
COMP_018,2023,-,+,-,Unknown
COMP_019,2019,-,-,-,Pre-Revenue
COMP_019,2020,-,-,+,Growth Funded by Debt
COMP_019,2021,-,-,-,Pre-Revenue
COMP_019,2022,+,+,+,Cash Accumulator
